Date,Total_PnL,Average_PnL,Total_Volume_Notional,Num_Trades,Num_Longs,Num_Shorts,Effective_Leverage,Long_Short_Ratio,Classification
2023-05-01,0.0,0.0,476.99280999999996,3,3,0,0.9110458603125021,3000000000.0,Greed
2023-12-05,0.0,0.0,50005.82917,9,7,2,0.9781228678477809,3.49999999825,Greed
2023-12-14,-205.43473700000007,-18.675885181818188,113203.34547,11,5,6,0.7136860375817053,0.8333333331944445,Greed
2023-12-15,-24.632033999999997,-12.316016999999999,10609.956,2,2,0,0.7290983606556876,1999999999.9999998,Greed
2023-12-16,0.0,0.0,15348.76138,3,3,0,1.0968160807121365,3000000000.0,Greed
2023-12-17,304.982785,21.78448464285714,116278.018081,14,3,11,0.5508641841465185,0.2727272727024793,Greed
2023-12-18,0.0,0.0,31164.1856,2,2,0,1788.2497244658778,1999999999.9999998,Greed
2023-12-19,1000.5386120000001,66.70257413333334,91602.41239,15,5,10,0.38041942300028464,0.49999999995,Greed
2023-12-20,162.732282,9.040682333333333,141636.78283,18,10,8,0.5517881936280787,1.24999999984375,Greed
2023-12-21,537.211402,10.963498000000001,125233.97907,49,22,27,0.22832043159394763,0.8148148147846365,Greed
2023-12-22,141.832675,14.1832675,88874.27747,10,8,2,0.8872447881301666,3.999999998,Greed
2023-12-23,146.936704,11.302823384615383,78438.24836,13,5,8,0.40091946547798996,0.624999999921875,Greed
2023-12-24,1008.619956,25.862050153846155,402954.92766,39,21,18,0.6078881007441463,1.166666666601852,Greed
2023-12-25,-245.081348,-81.69378266666666,59948.50502,3,2,1,1.9419827410668902,1.9999999979999998,Greed
2023-12-27,-704.8892269999999,-25.174615249999995,171411.03608,28,15,13,0.424388885588313,1.1538461537573965,Greed
2023-12-28,-970.730876,-42.20569026086957,100117.24515,23,10,13,0.37825599156031875,0.7692307691715976,Greed
2023-12-29,508.92214299999995,10.178442859999999,569559.70558,50,31,19,0.9135988297902794,1.6315789472825484,Greed
2023-12-30,354.998648,6.826897076923077,702550.20174,52,20,32,0.5271004401559409,0.6249999999804688,Greed
2024-01-01,-129.53146,-7.196192222222223,264239.51261,18,10,8,0.9483187327722336,1.24999999984375,Greed
2024-01-02,783.979116,46.11641858823529,121348.72987200001,17,9,8,0.8592645670433224,1.124999999859375,Greed
2024-01-03,866.015507,12.925604582089552,394499.36837399995,67,32,35,0.34805903784627945,0.9142857142595919,Greed
2024-01-04,-67.60364,-13.520728,99792.53588000001,5,2,3,0.5134578598035254,0.6666666664444444,Greed
2024-01-05,164.141565,2.486993409090909,1703942.66731,66,31,35,0.8519960343193284,0.8857142856889797,Greed
2024-01-06,135.58166400000002,6.16280290909091,298521.41284,22,11,11,0.5033316542415834,0.9999999999090909,Greed
2024-01-07,-835.681235,-8.615270463917525,1048850.051251,97,52,45,0.6647057647033683,1.1555555555298767,Greed
2024-01-08,-269.874439,-2.1083940546875,1522452.47911,128,40,88,0.5685038910932717,0.4545454545402892,Greed
2024-01-09,-826.349863,-11.804998042857143,870051.9215299999,70,28,42,0.7787216759002551,0.6666666666507937,Greed
2024-01-10,-1517.091342,-7.860576901554404,2057479.485642,193,92,101,0.5009643321527748,0.9108910890998921,Greed
2024-01-11,-164.08950099999998,-7.813785761904761,305314.08634,21,13,8,0.9900852382055252,1.624999999796875,Greed
2024-01-12,-1925.519024,-275.0741462857143,200082.27383999998,7,5,2,1.8295710502092077,2.49999999875,Greed
2024-01-16,-2299.171458,-255.4634953333333,116427.3314,9,4,5,0.6336802812920689,0.79999999984,Greed
2024-01-17,813.2741110000001,15.344794547169812,800831.0522700001,53,31,22,0.48833302604649764,1.4090909090268595,Greed
2024-01-18,68.93319,1.4985476086956522,424631.50679,46,18,28,0.25420186581419824,0.6428571428341837,Greed
2024-01-21,266.58114600000005,24.234649636363642,103129.73894400001,11,3,8,4.638056205092785,0.374999999953125,Greed
2024-01-22,1375.640959,16.18401128235294,337878.99275000003,85,51,34,0.3005192526865011,1.4999999999558824,Greed
2024-01-29,486.562542,6.5751694864864865,414208.23184799997,74,21,53,0.32269578911283436,0.3962264150868637,Greed
2024-01-30,-173.65419100000003,-3.5439630816326537,401011.34982,49,28,21,0.3536389887909851,1.3333333332698412,Greed
2024-01-31,-799.840817,-0.93113017112922,6305647.3764390005,859,470,389,0.13801196425029275,1.2082262210765855,Greed
2024-02-01,0.0,0.0,2008.1847710000002,6,6,0,0.40556415029192744,6000000000.0,Greed
2024-02-02,456.423473,10.867225547619048,474278.433764,42,19,23,0.6287828130677088,0.8260869564858223,Greed
2024-02-03,223.30918699999998,3.9876640535714283,603819.98881,56,18,38,0.32101143855288555,0.47368421051385046,Greed
2024-02-04,47.62389499999999,1.360682714285714,203187.53669,35,19,16,0.1353119589840401,1.1874999999257811,Greed
2024-02-05,-33.45419400000003,-0.4646415833333337,770198.24871,72,33,39,0.51132545921861,0.84615384613215,Greed
2024-02-06,-215.615907,-0.19817638511029412,8047153.469136,1088,518,570,0.14635047122094144,0.9087719298229671,Greed
2024-02-07,241.24212,16.082808,6758.70464,15,7,8,0.4008029988011273,0.874999999890625,Greed
2024-02-08,770.756024,77.07560240000001,26051.1241,10,2,8,0.7334567450615799,0.24999999996875,Greed
2024-02-11,983.443176,28.924799294117648,212311.821349,34,23,11,0.16572524360776336,2.090909090719008,Greed
2024-02-12,913.8817869999998,57.11761168749999,227247.68179,16,11,5,0.30612568637398413,2.19999999956,Greed
2024-02-13,559.44389,39.960277857142856,1999.9932,14,0,14,0.037305879037797134,0.0,Greed
2024-02-14,3830.599833,34.509908405405405,320839.927319,111,34,77,0.27794539636708276,0.441558441552707,Greed
2024-02-15,1840.797677,29.219010746031746,185188.107677,63,52,11,0.2252680573315437,4.727272726842975,Greed
2024-02-16,5491.768834,30.174554032967034,564896.535928,182,115,67,0.2696914924447449,1.7164179104221429,Greed
2024-02-17,1929.6418,20.52810425531915,406118.06327,94,50,44,0.3400013728917713,1.13636363633781,Greed
2024-02-18,477.6248299999999,4.923967319587628,157048.21183000001,97,38,59,0.11299357560503379,0.6440677965992532,Greed
2024-02-19,4317.768563,42.750183792079206,286377.1492,101,41,60,0.1970743458452692,0.6833333333219445,Greed
2024-02-20,3263.628824,83.68279035897436,119419.723704,39,13,26,0.28161260073751726,0.4999999999807692,Greed
2024-02-21,1858.7985700000002,84.49084409090909,108047.53806,22,7,15,0.5645325008452865,0.46666666663555556,Greed
2024-02-22,3894.1050699999996,44.25119397727272,373033.916586,88,35,53,0.2541774561517108,0.6603773584781061,Greed
2024-02-23,1418.55293,9.91995055944056,111106.02652999999,143,131,12,0.03538054659629296,10.916666665756944,Greed
2024-02-25,-30.7705,-6.1541,4480.1295,5,2,3,0.9544371826062792,0.6666666664444444,Greed
2024-02-26,4416.8473,113.25249487179488,192187.18292999998,39,27,12,0.12073068731350402,2.2499999998125,Greed
2024-02-27,888.511733,14.103360841269842,209362.29179000002,63,33,30,0.34885145456525435,1.0999999999633334,Greed
2024-02-28,2503.747235,55.63882744444444,171107.101114,45,31,14,0.2732691986437878,2.214285714127551,Greed
2024-02-29,9813.996992,84.60342234482759,395666.685727,116,60,56,0.329310993788979,1.071428571409439,Greed
2024-03-01,8244.241409,60.176944591240876,472974.663145,137,37,100,0.23084860342387473,0.3699999999963,Greed
2024-03-02,230.90060000000005,7.448406451612905,63197.542455,31,28,3,0.1623858383462157,9.333333330222223,Greed
2024-03-03,8361.086245,105.83653474683545,390745.677042,79,36,43,0.3319752464756748,0.8372093023061115,Greed
2024-03-04,27799.775742,92.66591914,1577996.746285,300,161,139,0.22018491026489892,1.1582733812866313,Greed
2024-03-05,19791.026041,109.95014467222222,841810.2949559999,180,55,125,0.24979838164340382,0.43999999999648,Greed
2024-03-06,6814.825139,83.10762364634145,327217.990646,82,49,33,0.32820048748870695,1.4848484848034895,Greed
2024-03-08,4271.886236,63.7594960597015,183583.229574,67,19,48,0.3265567606300855,0.39583333332508686,Greed
2024-03-09,9949.501624,85.03847541880343,658178.765539,117,83,34,0.2898350661188616,2.441176470516436,Greed
2024-03-10,2482.9272,59.117314285714286,219973.8624,42,38,4,0.21286563721756144,9.499999997625,Greed
2024-03-11,3588.179495,85.43284511904761,176519.42601,42,12,30,0.19265326344539396,0.3999999999866667,Greed
2024-03-12,3039.166,379.89575,103040.842,8,1,7,0.6144894390428487,0.1428571428367347,Greed
2024-03-13,0.0,0.0,6000.8022599999995,7,7,0,1.173852595855128,7000000000.0,Greed
2024-03-14,3465.865832,192.5481017777778,205933.17923,18,2,16,0.3943752986428726,0.1249999999921875,Greed
2024-03-15,6236.513651,100.58892985483871,351894.414518,62,26,36,0.22405445327082402,0.7222222222021606,Greed
2024-03-16,228.57984,28.57248,37223.66167,8,5,3,0.3451011446964816,1.6666666661111111,Greed
2024-03-17,503.293955,21.882345869565217,99506.94409,23,18,5,0.17844318426393863,3.59999999928,Greed
2024-03-18,1456.9577,76.68198421052631,90458.06317,19,13,6,0.37108517991333756,2.1666666663055554,Greed
2024-03-19,668.797973,27.86658220833333,219884.87557,24,17,7,0.291512727484861,2.42857142822449,Greed
2024-03-20,6423.134599,93.08890723188406,215705.92522,69,29,40,0.23227847291583492,0.724999999981875,Greed
2024-03-21,2335.5080749999997,83.41100267857142,117895.56306,28,26,2,0.17574820329410615,12.9999999935,Greed
2024-03-24,1297.018477,68.26413036842105,92592.22297,19,15,4,0.2460323913014354,3.7499999990625,Greed
2024-03-25,1302.916428,186.13091828571427,57116.32732,7,0,7,0.2374107438336991,0.0,Greed
2024-03-26,3215.906593,27.253445703389833,198565.2084,118,8,110,0.06810127523796858,0.07272727272661157,Greed
2024-03-27,150.41114,3.9581878947368416,99864.78379,38,19,19,0.5709226537232014,0.9999999999473684,Greed
2024-03-28,227.85100799999998,17.527000615384615,35323.735136,13,12,1,0.24538274873326657,11.999999987999999,Greed
2024-03-29,883.097404,58.873160266666666,86914.38673,15,9,6,0.31727454575741015,1.49999999975,Greed
2024-03-30,1100.57514,24.45722533333333,101103.90474,45,1,44,0.07648556472972175,0.0227272727267562,Greed
2024-03-31,912.786145,70.21431884615384,39912.93963000001,13,0,13,0.2267136734965631,0.0,Greed
2024-04-01,2507.963406,32.57095332467532,339470.500845,77,32,45,0.1835318867669102,0.7111111110953087,Greed
2024-04-02,883.760812,21.555141756097562,239664.47561000002,41,10,31,0.2203781548755678,0.32258064515088447,Greed
2024-04-03,126.7884,31.6971,16887.5616,4,3,1,1.2517262158802542,2.9999999969999998,Greed
2024-04-04,0.0,0.0,95987.71009,32,0,32,0.027740907975586065,0.0,Greed
2024-04-05,10706.484306,107.06484306,503791.831726,100,17,83,0.16774032677649245,0.20481927710596604,Greed
2024-04-06,236.33513399999998,14.770945874999999,68223.66744,16,0,16,0.20061759737956647,0.0,Greed
2024-04-07,0.0,0.0,49988.1611,23,0,23,0.029651236865321243,0.0,Greed
2024-04-08,1218.4267,40.614223333333335,211940.64508,30,1,29,0.03993441212081526,0.03448275861950059,Greed
2024-04-09,0.0,0.0,57063.83727,3,0,3,0.06905348521408271,0.0,Greed
